source	chromosome	orig_seg_id	bin_start	bin_end	seg_length	Mb_start	Mb_end	median_seg	mean_seg_perbin	trimmean_seg_perbin	var_seg_perbin	std_seg_perbin	cv_seg_perbin	n_bins_seg	median_left	delta_left	srd_phi_left	frac_under_left	eligible_left	merged_left	reason_left	flank_orig_seg_left	mean_left_flank_perbin	trimmean_left_flank_perbin	var_left_flank_perbin	std_left_flank_perbin	cv_left_flank_perbin	n_bins_left_flank	delta_mean_left	delta_trim_left	median_right	delta_right	srd_phi_right	frac_under_right	eligible_right	merged_right	reason_right	flank_orig_seg_right	mean_right_flank_perbin	trimmean_right_flank_perbin	var_right_flank_perbin	std_right_flank_perbin	cv_right_flank_perbin	n_bins_right_flank	delta_mean_right	delta_trim_right
cluster0	chr1	3	674	763	89	68.6	77.5	2.38935	2.90812	2.4928	3.18066	1.78344	0.61326	89	3.33326	-0.4803	-2.6384	0.0	False	False	effect_ge_tau	2	3.80026	3.45928	4.835335	2.19894	0.57863	218	-0.386	-0.4727	3.54149	-0.5677	-3.7982	0.0	False	False	effect_ge_tau	4	4.13915	3.9581	4.882621	2.20967	0.53385	420	-0.5092	-0.667
cluster0	chr1	5	1183	1245	62	120.0	149.8	2.23572	3.62645	2.8989	15.310204	3.91283	1.07897	62	3.54149	-0.6636	-1.303	0.0	False	False	effect_ge_tau	4	4.13915	3.9581	4.882621	2.20967	0.53385	420	-0.1908	-0.4493	9.90711	-2.1477	-10.598	0.0	False	False	effect_ge_tau	6	10.71301	10.30956	23.102683	4.80652	0.44866	70	-1.5627	-1.8304
cluster0	chr1	6	1245	1315	70	149.8	156.8	9.90711	10.71301	10.30956	23.102683	4.80652	0.44866	70	2.23572	2.1477	10.598	0.0	False	False	effect_ge_tau	5	3.62645	2.8989	15.310204	3.91283	1.07897	62	1.5627	1.8304	5.66489	0.8064	6.4656	0.0	False	False	effect_ge_tau	7	6.45741	5.82216	13.596368	3.68733	0.57102	99	0.7303	0.8244
cluster0	chr1	7	1315	1414	99	156.8	166.8	5.66489	6.45741	5.82216	13.596368	3.68733	0.57102	99	9.90711	-0.8064	-6.4656	0.0	False	False	effect_ge_tau	6	10.71301	10.30956	23.102683	4.80652	0.44866	70	-0.7303	-0.8244	7.50698	-0.4062	-5.1146	0.0	False	False	effect_ge_tau	8	8.69683	7.9263	29.743603	5.45377	0.6271	690	-0.4295	-0.4451
cluster1	chr1	3	674	763	89	68.6	77.5	2.43015	2.91316	2.49051	3.285866	1.8127	0.62224	89	3.29828	-0.4407	-2.6003	0.0	False	False	effect_ge_tau	2	3.82636	3.39495	5.280691	2.29798	0.60056	218	-0.3934	-0.4469	3.52031	-0.5347	-3.7601	0.0	False	False	effect_ge_tau	4	4.18035	3.94995	5.303482	2.30293	0.55089	420	-0.521	-0.6654
cluster1	chr1	5	1183	1245	62	120.0	149.8	2.10551	3.73306	2.96991	16.558851	4.06926	1.09006	62	3.52031	-0.7415	-1.088	0.0	False	False	effect_ge_tau	4	4.18035	3.94995	5.303482	2.30293	0.55089	420	-0.1633	-0.4114	10.00357	-2.2483	-10.0934	0.0	False	False	effect_ge_tau	6	10.77141	10.51979	26.177179	5.11636	0.47499	70	-1.5288	-1.8246
cluster1	chr1	6	1245	1315	70	149.8	156.8	10.00357	10.77141	10.51979	26.177179	5.11636	0.47499	70	2.10551	2.2483	10.0934	0.0	False	False	effect_ge_tau	5	3.73306	2.96991	16.558851	4.06926	1.09006	62	1.5288	1.8246	5.4198	0.8842	6.415	0.0	False	False	effect_ge_tau	7	6.39894	5.73528	14.456292	3.80214	0.59418	99	0.7513	0.8752
cluster1	chr1	7	1315	1414	99	156.8	166.8	5.4198	6.39894	5.73528	14.456292	3.80214	0.59418	99	10.00357	-0.8842	-6.415	0.0	False	False	effect_ge_tau	6	10.77141	10.51979	26.177179	5.11636	0.47499	70	-0.7513	-0.8752	7.48552	-0.4659	-5.216	0.0	False	False	effect_ge_tau	8	8.76803	8.05552	31.64321	5.62523	0.64156	690	-0.4544	-0.4901
cluster2	chr1	4	1183	1245	62	120.0	149.8	2.33719	3.57247	2.94586	13.494353	3.67347	1.02827	62	3.74809	-0.6814	-1.8013	0.0	False	False	effect_ge_tau	3	4.13311	4.02763	3.032184	1.74132	0.42131	420	-0.2103	-0.4512	9.82297	-2.0714	-12.7504	0.0	False	False	effect_ge_tau	5	10.21278	9.89622	15.307195	3.91244	0.38309	70	-1.5154	-1.7482
cluster2	chr1	5	1245	1315	70	149.8	156.8	9.82297	10.21278	9.89622	15.307195	3.91244	0.38309	70	2.33719	2.0714	12.7504	0.0	False	False	effect_ge_tau	4	3.57247	2.94586	13.494353	3.67347	1.02827	62	1.5154	1.7482	6.52953	0.5892	6.242	0.0	False	False	effect_ge_tau	6	6.94163	6.70973	10.115271	3.18045	0.45817	99	0.557	0.5606
