source	chromosome	orig_seg_id	bin_start	bin_end	side	srd	srd_phi	pooled_phi
cluster0	chr1	3	674	763	left	-3.8429	-2.6384	2.1214
cluster0	chr1	3	674	763	right	-5.5321	-3.7982	2.1214
cluster0	chr1	5	1183	1245	left	-1.8978	-1.303	2.1214
cluster0	chr1	5	1183	1245	right	-15.4361	-10.598	2.1214
cluster0	chr1	6	1245	1315	left	15.4361	10.598	2.1214
cluster0	chr1	6	1245	1315	right	9.4173	6.4656	2.1214
cluster0	chr1	7	1315	1414	left	-9.4173	-6.4656	2.1214
cluster0	chr1	7	1315	1414	right	-7.4495	-5.1146	2.1214
cluster1	chr1	3	674	763	left	-3.9241	-2.6003	2.2774
cluster1	chr1	3	674	763	right	-5.6744	-3.7601	2.2774
cluster1	chr1	5	1183	1245	left	-1.6419	-1.088	2.2774
cluster1	chr1	5	1183	1245	right	-15.232	-10.0934	2.2774
cluster1	chr1	6	1245	1315	left	15.232	10.0934	2.2774
cluster1	chr1	6	1245	1315	right	9.6808	6.415	2.2774
cluster1	chr1	7	1315	1414	left	-9.6808	-6.415	2.2774
cluster1	chr1	7	1315	1414	right	-7.8715	-5.216	2.2774
cluster2	chr1	4	1183	1245	left	-2.0818	-1.8013	1.3358
cluster2	chr1	4	1183	1245	right	-14.7363	-12.7504	1.3358
cluster2	chr1	5	1245	1315	left	14.7363	12.7504	1.3358
cluster2	chr1	5	1245	1315	right	7.2142	6.242	1.3358
cluster2	chr1	6	1315	1414	left	-7.2142	-6.242	1.3358
cluster2	chr1	6	1315	1414	right	-5.4677	-4.7309	1.3358
cluster3	chr1	2	463	493	left	-6.6246	-4.2021	2.4854
cluster3	chr1	2	463	493	right	-5.1045	-3.2379	2.4854
cluster3	chr1	5	1183	1245	left	-2.8368	-1.7994	2.4854
cluster3	chr1	5	1183	1245	right	-16.6965	-10.5908	2.4854
cluster3	chr1	6	1245	1315	left	16.6965	10.5908	2.4854
cluster3	chr1	6	1245	1315	right	8.6878	5.5108	2.4854
cluster3	chr1	7	1315	1336	left	-8.6878	-5.5108	2.4854
cluster3	chr1	7	1315	1336	right	-4.9725	-3.1541	2.4854
cluster3	chr1	8	1336	1380	left	4.9725	3.1541	2.4854
cluster3	chr1	8	1336	1380	right	7.3515	4.6632	2.4854
cluster3	chr1	9	1380	1414	left	-7.3515	-4.6632	2.4854
cluster3	chr1	9	1380	1414	right	-10.0684	-6.3865	2.4854
cluster4	chr1	2	456	493	left	-5.3477	-3.7307	2.0547
cluster4	chr1	2	456	493	right	-4.7399	-3.3067	2.0547
cluster4	chr1	4	1183	1245	left	-1.1146	-0.7776	2.0547
cluster4	chr1	4	1183	1245	right	-14.8142	-10.3348	2.0547
cluster4	chr1	5	1245	1315	left	14.8142	10.3348	2.0547
cluster4	chr1	5	1245	1315	right	6.654	4.6421	2.0547
cluster4	chr1	6	1315	1380	left	-6.654	-4.6421	2.0547
cluster4	chr1	6	1315	1380	right	4.7041	3.2817	2.0547
cluster4	chr1	7	1380	1414	left	-4.7041	-3.2817	2.0547
cluster4	chr1	7	1380	1414	right	-8.5458	-5.9618	2.0547
cluster0	chr2	1	81	125	left	8.4104	7.5803	1.231
cluster0	chr2	1	81	125	right	3.3994	3.0639	1.231
cluster0	chr2	3	324	349	left	-5.639	-5.0825	1.231
cluster0	chr2	3	324	349	right	-7.3326	-6.6089	1.231
cluster0	chr2	4	349	382	left	7.3326	6.6089	1.231
cluster0	chr2	4	349	382	right	3.0787	2.7748	1.231
cluster0	chr2	6	744	766	left	-8.1677	-7.3616	1.231
cluster0	chr2	6	744	766	right	-7.1483	-6.4428	1.231
cluster0	chr2	8	910	956	left	-6.1277	-5.523	1.231
cluster0	chr2	8	910	956	right	-4.0812	-3.6784	1.231
cluster1	chr2	1	81	141	left	8.726	7.5358	1.3408
cluster1	chr2	1	81	141	right	2.9806	2.574	1.3408
cluster1	chr2	3	324	349	left	-5.7423	-4.959	1.3408
cluster1	chr2	3	324	349	right	-7.443	-6.4278	1.3408
cluster1	chr2	4	349	382	left	7.443	6.4278	1.3408
cluster1	chr2	4	349	382	right	2.9621	2.5581	1.3408
cluster1	chr2	6	744	765	left	-8.051	-6.9529	1.3408
cluster1	chr2	6	744	765	right	-7.0945	-6.1268	1.3408
cluster1	chr2	9	1143	1234	left	1.1934	1.0306	1.3408
cluster1	chr2	9	1143	1234	right	-5.6709	-4.8974	1.3408
cluster2	chr2	2	744	765	left	-6.9861	-7.7083	0.8214
cluster2	chr2	2	744	765	right	-6.3189	-6.9721	0.8214
cluster3	chr2	1	81	125	left	9.7209	8.2202	1.3984
cluster3	chr2	1	81	125	right	2.847	2.4075	1.3984
cluster3	chr2	2	125	202	left	-2.847	-2.4075	1.3984
cluster3	chr2	2	125	202	right	8.2784	7.0004	1.3984
cluster3	chr2	3	202	223	left	-8.2784	-7.0004	1.3984
cluster3	chr2	3	202	223	right	-9.3343	-7.8933	1.3984
cluster3	chr2	5	744	766	left	-8.5624	-7.2406	1.3984
cluster3	chr2	5	744	766	right	-6.6504	-5.6237	1.3984
cluster3	chr2	7	889	910	left	4.1064	3.4725	1.3984
cluster3	chr2	7	889	910	right	7.4286	6.2818	1.3984
cluster3	chr2	8	910	962	left	-7.4286	-6.2818	1.3984
cluster3	chr2	8	910	962	right	-4.5258	-3.8271	1.3984
cluster4	chr2	1	83	125	left	7.7471	7.1485	1.1745
cluster4	chr2	1	83	125	right	3.6983	3.4125	1.1745
cluster0	chr5	1	50	74	left	-2.9108	-2.304	1.5961
cluster0	chr5	1	50	74	right	-5.4849	-4.3415	1.5961
cluster0	chr5	2	74	134	left	5.4849	4.3415	1.5961
cluster0	chr5	2	74	134	right	3.5123	2.7801	1.5961
cluster0	chr5	3	134	154	left	-3.5123	-2.7801	1.5961
cluster0	chr5	3	134	154	right	-5.6324	-4.4583	1.5961
cluster0	chr5	5	1009	1037	left	3.3437	2.6467	1.5961
cluster0	chr5	5	1009	1037	right	5.3676	4.2487	1.5961
cluster0	chr5	6	1037	1089	left	-5.3676	-4.2487	1.5961
cluster0	chr5	6	1037	1089	right	-11.228	-8.8874	1.5961
cluster1	chr5	1	50	74	left	-3.1086	-2.43	1.6365
cluster1	chr5	1	50	74	right	-5.6999	-4.4556	1.6365
cluster1	chr5	2	74	134	left	5.6999	4.4556	1.6365
cluster1	chr5	2	74	134	right	3.6762	2.8737	1.6365
cluster1	chr5	3	134	154	left	-3.6762	-2.8737	1.6365
cluster1	chr5	3	134	154	right	-5.936	-4.6401	1.6365
cluster1	chr5	5	1037	1089	left	-4.3358	-3.3893	1.6365
cluster1	chr5	5	1037	1089	right	-11.2	-8.755	1.6365
cluster1	chr5	7	1414	1444	left	-5.173	-4.0437	1.6365
cluster1	chr5	7	1414	1444	right	4.1157	3.2172	1.6365
cluster1	chr5	8	1444	1464	left	-4.1157	-3.2172	1.6365
cluster1	chr5	8	1444	1464	right	-6.5854	-5.1477	1.6365
cluster1	chr5	9	1464	1503	left	6.5854	5.1477	1.6365
cluster1	chr5	9	1464	1503	right	9.2719	7.2478	1.6365
cluster1	chr5	10	1503	1525	left	-9.2719	-7.2478	1.6365
cluster1	chr5	10	1503	1525	right	-9.7129	-7.5925	1.6365
cluster2	chr5	1	50	74	left	-2.9614	-2.9531	1.0056
cluster2	chr5	1	50	74	right	-5.3508	-5.3358	1.0056
cluster2	chr5	2	74	134	left	5.3508	5.3358	1.0056
cluster2	chr5	2	74	134	right	3.365	3.3556	1.0056
cluster2	chr5	3	134	154	left	-3.365	-3.3556	1.0056
cluster2	chr5	3	134	154	right	-4.9615	-4.9476	1.0056
cluster2	chr5	5	1009	1037	left	3.1359	3.1271	1.0056
cluster2	chr5	5	1009	1037	right	4.4775	4.465	1.0056
cluster2	chr5	6	1037	1090	left	-4.4775	-4.465	1.0056
cluster2	chr5	6	1037	1090	right	-10.0721	-10.0439	1.0056
cluster2	chr5	8	1414	1444	left	-4.0027	-3.9915	1.0056
cluster2	chr5	8	1414	1444	right	3.6454	3.6352	1.0056
cluster2	chr5	9	1444	1464	left	-3.6454	-3.6352	1.0056
cluster2	chr5	9	1444	1464	right	-5.7824	-5.7663	1.0056
cluster2	chr5	10	1464	1503	left	5.7824	5.7663	1.0056
cluster2	chr5	10	1464	1503	right	8.6594	8.6352	1.0056
cluster2	chr5	11	1503	1525	left	-8.6594	-8.6352	1.0056
cluster2	chr5	11	1503	1525	right	-9.0679	-9.0425	1.0056
cluster3	chr5	1	50	74	left	-2.3571	-1.8539	1.6165
cluster3	chr5	1	50	74	right	-4.7003	-3.6968	1.6165
cluster3	chr5	2	74	154	left	4.7003	3.6968	1.6165
cluster3	chr5	2	74	154	right	-3.0761	-2.4194	1.6165
cluster3	chr5	4	345	404	left	4.6593	3.6646	1.6165
cluster3	chr5	4	345	404	right	5.445	4.2826	1.6165
cluster3	chr5	5	404	451	left	-5.445	-4.2826	1.6165
cluster3	chr5	5	404	451	right	-5.4923	-4.3198	1.6165
cluster3	chr5	7	1038	1090	left	-5.5455	-4.3616	1.6165
cluster3	chr5	7	1038	1090	right	-11.118	-8.7444	1.6165
cluster3	chr5	9	1382	1414	left	5.3058	4.173	1.6165
cluster3	chr5	9	1382	1414	right	11.1887	8.8	1.6165
cluster3	chr5	10	1414	1482	left	-11.1887	-8.8	1.6165
cluster3	chr5	10	1414	1482	right	-6.5947	-5.1868	1.6165
cluster3	chr5	11	1482	1503	left	6.5947	5.1868	1.6165
cluster3	chr5	11	1482	1503	right	9.5457	7.5078	1.6165
cluster3	chr5	12	1503	1525	left	-9.5457	-7.5078	1.6165
cluster3	chr5	12	1503	1525	right	-7.4884	-5.8897	1.6165
cluster3	chr5	13	1525	1610	left	7.4884	5.8897	1.6165
cluster3	chr5	13	1525	1610	right	-4.9083	-3.8605	1.6165
cluster3	chr5	14	1610	1632	left	4.9083	3.8605	1.6165
cluster3	chr5	14	1610	1632	right	5.4808	4.3107	1.6165
cluster4	chr5	2	1037	1090	left	-4.4692	-3.6888	1.4678
