source	chromosome	seg_id	bin_start	bin_end	seg_length	se_log2fc_left	ci_lo_log2fc_left	ci_hi_log2fc_left	sign_agree_log2fc_left	se_log2fc_right	ci_lo_log2fc_right	ci_hi_log2fc_right	sign_agree_log2fc_right	se_srd_left	ci_lo_srd_left	ci_hi_srd_left	sign_agree_srd_left	se_srd_right	ci_lo_srd_right	ci_hi_srd_right	sign_agree_srd_right
cluster0	chr1	3	674	763	89	0.008566898598530567	-0.40334599053253317	-0.3694755759752181	1.0	0.007928525477685152	-0.5235146057135133	-0.4954408355733738	1.0	0.08029945632654213	-4.005093793912165	-3.684409138658413	1.0	0.0786908409734471	-5.680393183132111	-5.395617560696902	1.0
cluster0	chr1	5	1183	1245	62	0.0060800154205628365	-0.20326384080144366	-0.17829000003814655	1.0	0.005666228166126801	-1.5732536667379946	-1.5514297060080044	1.0	0.05955812467951684	-2.020895043235391	-1.775393708696789	1.0	0.054123552517940425	-15.544818064586828	-15.33102897181961	1.0
cluster0	chr1	6	1245	1315	70	0.005666228166126802	1.5514297060080044	1.5732536667379946	1.0	0.004852140799703499	0.7208496601759535	0.7398873731603132	1.0	0.054123552517940425	15.33102897181961	15.544818064586828	1.0	0.06120683325929794	9.304196977351577	9.53768859194509	1.0
cluster0	chr1	7	1315	1414	99	0.0048521407997034905	-0.7398873731603132	-0.7208496601759535	1.0	0.004342877620514709	-0.4382350672637398	-0.4206881821369236	1.0	0.06120683325929794	-9.53768859194509	-9.304196977351577	1.0	0.07199145639288272	-7.594545079030954	-7.303091123182923	1.0
cluster1	chr1	3	674	763	89	0.007406907027937643	-0.406714266754009	-0.3793261313460425	1.0	0.007338154012302093	-0.5348283034010103	-0.5070166912525874	1.0	0.06900147181226235	-4.048976769661858	-3.7873291418783306	1.0	0.07245554110949384	-5.808105244421168	-5.536194764841099	1.0
cluster1	chr1	5	1183	1245	62	0.005995361816827243	-0.1750899764254921	-0.1496995938223582	1.0	0.005473065794256473	-1.5391819981699988	-1.5193108753362672	1.0	0.059081216151597366	-1.755921883365441	-1.5069639417147096	1.0	0.049466806176713084	-15.330463239751737	-15.14246710322203	1.0
cluster1	chr1	6	1245	1315	70	0.0054730657942564775	1.5193108753362674	1.5391819981699988	1.0	0.004728841585216704	0.7421803629948232	0.7607466847955561	1.0	0.049466806176713084	15.14246710322203	15.330463239751737	1.0	0.05902528963710242	9.561165521521774	9.798457580214478	1.0
cluster1	chr1	7	1315	1414	99	0.00472884158521671	-0.760746684795556	-0.7421803629948234	1.0	0.004421717338169367	-0.4626579781851571	-0.4449381007752308	1.0	0.05902528963710242	-9.798457580214478	-9.561165521521774	1.0	0.07242849879809844	-8.003770956242404	-7.717314140744702	1.0
cluster2	chr1	4	1183	1245	62	0.011103126657198816	-0.23422298177822803	-0.19021469315568412	1.0	0.006568255893609371	-1.5284776982635815	-1.5031301690777994	1.0	0.11003958969669214	-2.319260180026625	-1.8842888428944087	1.0	0.06252800889080538	-14.881367764518886	-14.63797504205485	1.0
cluster2	chr1	5	1245	1315	70	0.006568255893609369	1.5031301690777994	1.5284776982635815	1.0	0.007016450202317764	0.542913090945658	0.5722435067565782	1.0	0.06252800889080538	14.63797504205485	14.881367764518886	1.0	0.0889620898458809	7.03855918666344	7.386087717964432	1.0
cluster2	chr1	6	1315	1414	99	0.007016450202317768	-0.5722435067565781	-0.542913090945658	1.0	0.004779012214942793	-0.31796895383167817	-0.29983739740818144	1.0	0.0889620898458809	-7.386087717964432	-7.03855918666344	1.0	0.08065745862165839	-5.615582124582232	-5.305048827627565	1.0
cluster3	chr1	2	463	493	30	0.016061703653425897	-1.1415297812545258	-1.0794736167738794	1.0	0.01596862362654952	-0.9171200931152753	-0.8571167114020167	1.0	0.07436874877017047	-6.766980359193828	-6.482530293597302	1.0	0.07575857543934936	-5.250316078820042	-4.963514935404359	1.0
cluster3	chr1	5	1183	1245	62	0.007889688345612931	-0.3057480103000548	-0.2763824108514552	1.0	0.007607409010530779	-1.7044200750692313	-1.6743178214492014	1.0	0.07482716239967195	-2.9782929038939803	-2.697904345847038	1.0	0.07307947291637956	-16.821986082674446	-16.553945421590615	1.0
cluster3	chr1	6	1245	1315	70	0.007607409010530776	1.6743178214492014	1.7044200750692315	1.0	0.01189553448185255	1.1615757728604519	1.2063652712660597	1.0	0.07307947291637956	16.553945421590615	16.821986082674446	1.0	0.07459090406764661	8.549595187525982	8.842049767710314	1.0
cluster3	chr1	7	1315	1336	21	0.011895534481852552	-1.20636527126606	-1.161575772860452	1.0	0.011313687359263762	-0.786007797117982	-0.7417079803422421	1.0	0.07459090406764661	-8.842049767710314	-8.549595187525982	1.0	0.06817589136115387	-5.109654908026202	-4.853631213969447	1.0
cluster3	chr1	8	1336	1380	44	0.011313687359263745	0.7417079803422422	0.7860077971179819	1.0	0.014472318737124401	0.9778327895861384	1.0332523901096515	1.0	0.06817589136115387	4.853631213969447	5.109654908026202	1.0	0.09232290502439505	7.187562164371653	7.542421873186684	1.0
