source	chromosome	orig_seg_id	bin_start	bin_end	seg_length	median_obs	standalone_in_simplified	merged_left	merged_right	reason_left	reason_right
cluster0	chr1	3	674	763	89	2.38935	True	False	False	effect_ge_tau	effect_ge_tau
cluster0	chr1	5	1183	1245	62	2.23572	True	False	False	effect_ge_tau	effect_ge_tau
cluster0	chr1	6	1245	1315	70	9.90711	True	False	False	effect_ge_tau	effect_ge_tau
cluster0	chr1	7	1315	1414	99	5.66489	True	False	False	effect_ge_tau	effect_ge_tau
cluster1	chr1	3	674	763	89	2.43015	True	False	False	effect_ge_tau	effect_ge_tau
cluster1	chr1	5	1183	1245	62	2.10551	True	False	False	effect_ge_tau	effect_ge_tau
cluster1	chr1	6	1245	1315	70	10.00357	True	False	False	effect_ge_tau	effect_ge_tau
cluster1	chr1	7	1315	1414	99	5.4198	True	False	False	effect_ge_tau	effect_ge_tau
cluster2	chr1	4	1183	1245	62	2.33719	True	False	False	effect_ge_tau	effect_ge_tau
cluster2	chr1	5	1245	1315	70	9.82297	True	False	False	effect_ge_tau	effect_ge_tau
cluster2	chr1	6	1315	1414	99	6.52953	True	False	False	effect_ge_tau	effect_ge_tau
cluster3	chr1	2	463	493	30	1.94225	True	False	False	effect_ge_tau	effect_ge_tau
cluster3	chr1	5	1183	1245	62	2.10965	True	False	False	effect_ge_tau	effect_ge_tau
cluster3	chr1	6	1245	1315	70	10.64862	True	False	False	effect_ge_tau	effect_ge_tau
cluster3	chr1	7	1315	1336	21	4.14732	True	False	False	effect_ge_tau	effect_ge_tau
cluster3	chr1	8	1336	1380	44	7.0253	True	False	False	effect_ge_tau	effect_ge_tau
cluster3	chr1	9	1380	1414	34	3.90639	True	False	False	effect_ge_tau	effect_ge_tau
cluster4	chr1	2	456	493	37	2.19736	True	False	False	effect_ge_tau	effect_ge_tau
cluster4	chr1	4	1183	1245	62	2.15959	True	False	False	effect_ge_tau	effect_ge_tau
cluster4	chr1	5	1245	1315	70	9.59017	True	False	False	effect_ge_tau	effect_ge_tau
cluster4	chr1	6	1315	1380	65	5.79963	True	False	False	effect_ge_tau	effect_ge_tau
cluster4	chr1	7	1380	1414	34	3.25311	True	False	False	effect_ge_tau	effect_ge_tau
cluster0	chr2	1	81	125	44	4.36719	True	False	False	terminal_unchanged	effect_ge_tau
cluster0	chr2	3	324	349	25	1.46131	True	False	False	effect_ge_tau	effect_ge_tau
cluster0	chr2	4	349	382	33	4.92397	True	False	False	effect_ge_tau	effect_ge_tau
cluster0	chr2	6	744	766	22	1.12517	True	False	False	effect_ge_tau	effect_ge_tau
cluster0	chr2	8	910	956	46	1.52182	True	False	False	effect_ge_tau	effect_ge_tau
cluster1	chr2	1	81	141	60	4.07791	True	False	False	terminal_unchanged	effect_ge_tau
cluster1	chr2	3	324	349	25	1.43336	True	False	False	effect_ge_tau	effect_ge_tau
cluster1	chr2	4	349	382	33	4.84935	True	False	False	effect_ge_tau	effect_ge_tau
cluster1	chr2	6	744	765	21	1.0588	True	False	False	effect_ge_tau	effect_ge_tau
cluster1	chr2	9	1143	1234	91	2.55133	True	False	False	effect_ge_tau	effect_ge_tau
cluster2	chr2	2	744	765	21	1.27194	True	False	False	effect_ge_tau	effect_ge_tau
cluster3	chr2	1	81	125	44	4.50341	True	False	False	terminal_unchanged	effect_ge_tau
cluster3	chr2	2	125	202	77	3.00582	True	False	False	effect_ge_tau	effect_ge_tau
cluster3	chr2	3	202	223	21	0.64172	True	False	False	effect_ge_tau	effect_ge_tau
cluster3	chr2	5	744	766	22	0.97102	True	False	False	effect_ge_tau	effect_ge_tau
cluster3	chr2	7	889	910	21	4.87905	True	False	False	effect_ge_tau	effect_ge_tau
cluster3	chr2	8	910	962	52	1.3944	True	False	False	effect_ge_tau	effect_ge_tau
cluster4	chr2	1	83	125	42	4.54452	True	False	False	terminal_unchanged	effect_ge_tau
cluster0	chr5	1	50	74	24	0.58646	True	False	False	terminal_unchanged	effect_ge_tau
cluster0	chr5	2	74	134	60	2.65297	True	False	False	effect_ge_tau	effect_ge_tau
cluster0	chr5	3	134	154	20	0.62414	True	False	False	effect_ge_tau	effect_ge_tau
cluster0	chr5	5	1009	1037	28	5.14362	True	False	False	effect_ge_tau	effect_ge_tau
cluster0	chr5	6	1037	1089	52	2.25889	True	False	False	effect_ge_tau	effect_ge_tau
cluster1	chr5	1	50	74	24	0.46572	True	False	False	terminal_unchanged	effect_ge_tau
cluster1	chr5	2	74	134	60	2.56649	True	False	False	effect_ge_tau	effect_ge_tau
cluster1	chr5	3	134	154	20	0.54629	True	False	False	effect_ge_tau	effect_ge_tau
cluster1	chr5	5	1037	1089	52	2.19073	True	False	False	effect_ge_tau	effect_ge_tau
cluster1	chr5	7	1414	1444	30	3.68607	True	False	False	effect_ge_tau	effect_ge_tau
cluster1	chr5	8	1444	1464	20	1.57609	True	False	False	effect_ge_tau	effect_ge_tau
cluster1	chr5	9	1464	1503	39	4.68831	True	False	False	effect_ge_tau	effect_ge_tau
cluster1	chr5	10	1503	1525	22	1.0114	True	False	False	effect_ge_tau	effect_ge_tau
cluster2	chr5	1	50	74	24	0.86835	True	False	False	terminal_unchanged	effect_ge_tau
cluster2	chr5	2	74	134	60	2.93298	True	False	False	effect_ge_tau	effect_ge_tau
cluster2	chr5	3	134	154	20	0.88414	True	False	False	effect_ge_tau	effect_ge_tau
cluster2	chr5	5	1009	1037	28	5.38845	True	False	False	effect_ge_tau	effect_ge_tau
