source	chromosome	recursion_depth	node_start_bin	node_end_bin	candidate_rank	candidate_local_cut	candidate_absolute_bin	bp_genomic_start	bp_genomic_end	ad_score	left_child_bins	right_child_bins	geometry_valid	rejection_reasons	selected_for_significance	p_local	p_global	accepted
cluster0	chr1	2	0	50	49	1	1	900001	1000000	0.42756859380419443	1	49	False	left_child_too_short;left_terminal_too_short	False			False
cluster0	chr1	2	0	50	47	2	2	1000001	1100000	0.9152390230711792	2	48	False	left_child_too_short;left_terminal_too_short	False			False
cluster0	chr1	2	0	50	39	3	3	1100001	1200000	2.3380072522398194	3	47	False	left_child_too_short;left_terminal_too_short	False			False
cluster0	chr1	2	0	50	40	4	4	1200001	1300000	2.0138639901256012	4	46	False	left_child_too_short;left_terminal_too_short	False			False
cluster0	chr1	2	0	50	37	5	5	1300001	1400000	2.658560129891736	5	45	False	left_child_too_short;left_terminal_too_short	False			False
cluster0	chr1	2	0	50	31	6	6	1400001	1500000	4.539053339004302	6	44	False	left_child_too_short;left_terminal_too_short	False			False
cluster0	chr1	2	0	50	32	7	7	1500001	1600000	4.501905025882614	7	43	False	left_child_too_short;left_terminal_too_short	False			False
cluster0	chr1	2	0	50	30	8	8	1600001	1700000	4.98935120823494	8	42	False	left_child_too_short;left_terminal_too_short	False			False
cluster0	chr1	2	0	50	26	9	9	1700001	1800000	5.512766731637629	9	41	False	left_child_too_short;left_terminal_too_short	False			False
cluster0	chr1	2	0	50	19	10	10	1800001	1900000	6.820114525056558	10	40	False	left_child_too_short;left_terminal_too_short	False			False
cluster0	chr1	2	0	50	15	11	11	1900001	2000000	7.946768246088176	11	39	False	left_child_too_short;left_terminal_too_short	False			False
cluster0	chr1	2	0	50	9	12	12	2000001	2100000	8.956318026834822	12	38	False	left_child_too_short;left_terminal_too_short	False			False
cluster0	chr1	2	0	50	10	13	13	2100001	2200000	8.621422600031798	13	37	False	left_child_too_short;left_terminal_too_short	False			False
cluster0	chr1	2	0	50	7	14	14	2200001	2300000	10.02867306645493	14	36	False	left_child_too_short;left_terminal_too_short	False			False
cluster0	chr1	2	0	50	5	15	15	2300001	2400000	11.82999291621773	15	35	False	left_child_too_short;left_terminal_too_short	False			False
cluster0	chr1	2	0	50	4	16	16	2400001	2500000	11.876994123818417	16	34	False	left_child_too_short;left_terminal_too_short	False			False
cluster0	chr1	2	0	50	3	17	17	2500001	2600000	12.545794941441162	17	33	False	left_child_too_short;left_terminal_too_short	False			False
cluster0	chr1	2	0	50	1	18	18	2600001	2700000	14.670302300514726	18	32	False	left_child_too_short;left_terminal_too_short	False			False
cluster0	chr1	2	0	50	2	19	19	2800001	2900000	13.32929119435345	19	31	False	left_child_too_short;left_terminal_too_short	False			False
cluster0	chr1	2	0	50	6	20	20	2900001	3000000	11.399824878834872	20	30	False	left_terminal_too_short	False			False
cluster0	chr1	2	0	50	8	21	21	3000001	3100000	9.530878120511975	21	29	False	left_terminal_too_short	False			False
cluster0	chr1	2	0	50	13	22	22	3100001	3200000	8.10782146033485	22	28	False	left_terminal_too_short	False			False
cluster0	chr1	2	0	50	18	23	23	3200001	3300000	6.963306204525116	23	27	False	left_terminal_too_short	False			False
cluster0	chr1	2	0	50	24	24	24	3300001	3400000	6.045531700693233	24	26	False	left_terminal_too_short	False			False
cluster0	chr1	2	0	50	29	25	25	3400001	3500000	5.258831084382462	25	25	False	left_terminal_too_short	False			False
cluster0	chr1	2	0	50	27	26	26	3500001	3600000	5.5023204360511855	26	24	False	left_terminal_too_short	False			False
cluster0	chr1	2	0	50	25	27	27	3600001	3700000	5.761657264412058	27	23	False	left_terminal_too_short	False			False
cluster0	chr1	2	0	50	22	28	28	3700001	3800000	6.333275470181796	28	22	False	left_terminal_too_short	False			False
cluster0	chr1	2	0	50	16	29	29	3800001	3900000	7.417616839674022	29	21	False	left_terminal_too_short	False			False
cluster0	chr1	2	0	50	12	30	30	3900001	4000000	8.39745734669593	30	20	False	left_terminal_too_short	False			False
cluster0	chr1	2	0	50	11	31	31	4000001	4100000	8.43805103262958	31	19	False	right_child_too_short;left_terminal_too_short	False			False
cluster0	chr1	2	0	50	14	32	32	4100001	4200000	8.029098209444749	32	18	False	right_child_too_short;left_terminal_too_short	False			False
cluster0	chr1	2	0	50	17	33	33	4200001	4300000	7.378921942864697	33	17	False	right_child_too_short;left_terminal_too_short	False			False
cluster0	chr1	2	0	50	20	34	34	4300001	4400000	6.665410681850714	34	16	False	right_child_too_short;left_terminal_too_short	False			False
cluster0	chr1	2	0	50	21	35	35	4400001	4500000	6.495300224199758	35	15	False	right_child_too_short;left_terminal_too_short	False			False
cluster0	chr1	2	0	50	23	36	36	4500001	4600000	6.238512938196466	36	14	False	right_child_too_short;left_terminal_too_short	False			False
cluster0	chr1	2	0	50	28	37	37	4600001	4700000	5.3394062791223424	37	13	False	right_child_too_short;left_terminal_too_short	False			False
cluster0	chr1	2	0	50	33	38	38	4700001	4800000	4.474329609310784	38	12	False	right_child_too_short;left_terminal_too_short	False			False
cluster0	chr1	2	0	50	34	39	39	4800001	4900000	3.941368186556594	39	11	False	right_child_too_short;left_terminal_too_short	False			False
cluster0	chr1	2	0	50	35	40	40	4900001	5000000	3.345156843429023	40	10	False	right_child_too_short;left_terminal_too_short	False			False
cluster0	chr1	2	0	50	36	41	41	5000001	5100000	2.9785623399526995	41	9	False	right_child_too_short;left_terminal_too_short	False			False
cluster0	chr1	2	0	50	38	42	42	5100001	5200000	2.3770928692257636	42	8	False	right_child_too_short;left_terminal_too_short	False			False
cluster0	chr1	2	0	50	41	43	43	5200001	5300000	1.8672280097387932	43	7	False	right_child_too_short;left_terminal_too_short	False			False
cluster0	chr1	2	0	50	42	44	44	5300001	5400000	1.467804816227092	44	6	False	right_child_too_short;left_terminal_too_short	False			False
cluster0	chr1	2	0	50	44	45	45	5400001	5500000	1.1894566522447805	45	5	False	right_child_too_short;left_terminal_too_short	False			False
cluster0	chr1	2	0	50	45	46	46	5500001	5600000	1.0008931266348584	46	4	False	right_child_too_short;left_terminal_too_short	False			False
cluster0	chr1	2	0	50	46	47	47	5600001	5700000	0.993983248319276	47	3	False	right_child_too_short;left_terminal_too_short	False			False
cluster0	chr1	2	0	50	43	48	48	5700001	5800000	1.4457122170875583	48	2	False	right_child_too_short;left_terminal_too_short	False			False
cluster0	chr1	2	0	50	48	49	49	5800001	5900000	0.6873609945168427	49	1	False	right_child_too_short;left_terminal_too_short	False			False
cluster0	chr1	1	0	1245	1	50	50	5900001	6000000	34.251969623602044	50	1195	True		True	0.000999000999000999	0.000999000999000999	True
cluster0	chr1	4	50	456	1	326	376	38800001	38900000	6.593362800768781	326	80	True		True	0.002997002997002997		False
cluster0	chr1	3	50	1183	1	406	456	46800001	46900000	11.923672310777942	406	727	True		True	0.000999000999000999	0.000999000999000999	True
cluster0	chr1	5	456	763	1	218	674	68600001	68700000	8.79722789951913	218	89	True		True	0.000999000999000999	0.000999000999000999	True
cluster0	chr1	4	456	1183	1	307	763	77500001	77600000	10.302674514333058	307	420	True		True	0.000999000999000999	0.000999000999000999	True
cluster0	chr1	5	763	1183	8	5	768	78000001	78100000	4.610450493157284	5	415	False	left_child_too_short	False			False
cluster0	chr1	5	763	1183	4	6	769	78100001	78200000	5.743791622721272	6	414	False	left_child_too_short	False			False
cluster0	chr1	5	763	1183	7	7	770	78200001	78300000	5.27903890975295	7	413	False	left_child_too_short	False			False
cluster0	chr1	5	763	1183	3	8	771	78300001	78400000	5.848416368619938	8	412	False	left_child_too_short	False			False
cluster0	chr1	5	763	1183	1	9	772	78400001	78500000	6.814863019643296	9	411	False	left_child_too_short	False			False
cluster0	chr1	5	763	1183	2	10	773	78500001	78600000	6.188019227865439	10	410	False	left_child_too_short	False			False
cluster0	chr1	5	763	1183	5	11	774	78600001	78700000	5.370204659606749	11	409	False	left_child_too_short	False			False
cluster0	chr1	5	763	1183	6	12	775	78700001	78800000	5.369599581794202	12	408	False	left_child_too_short	False			False
cluster0	chr1	5	763	1183	9	237	1000	101300001	101400000	4.177980331115966	237	183	True		True	0.006993006993006993		False
cluster0	chr1	2	50	1245	1	1133	1183	120000001	120100000	21.728846412664343	1133	62	True		True	0.000999000999000999	0.000999000999000999	True
cluster0	chr1	3	1183	1245	6	7	1190	121000001	121100000	4.74775018291271	7	55	False	left_child_too_short	False			False
cluster0	chr1	3	1183	1245	7	8	1191	121100001	121200000	4.710658447987328	8	54	False	left_child_too_short	False			False
cluster0	chr1	3	1183	1245	5	9	1192	121300001	121400000	5.015353716967997	9	53	False	left_child_too_short	False			False
cluster0	chr1	3	1183	1245	1	10	1193	121400001	121500000	6.012300190824446	10	52	False	left_child_too_short	False			False
cluster0	chr1	3	1183	1245	3	11	1194	121500001	121600000	5.212375620872537	11	51	False	left_child_too_short	False			False
cluster0	chr1	3	1183	1245	4	17	1200	144100001	144200000	5.176442656018603	17	45	False	left_child_too_short	False			False
cluster0	chr1	3	1183	1245	2	18	1201	144400001	144500000	5.434178676270648	18	44	False	left_child_too_short	False			False
cluster0	chr1	3	1183	1245	8	23	1206	145200001	145300000	4.599799056533994	23	39	True		True	0.003996003996003996		False
cluster0	chr1	0	0	2232	1	1245	1245	149800001	149900000	342.99672973222073	1245	987	True		True	0.000999000999000999	0.000999000999000999	True
cluster0	chr1	3	1245	1315	7	50	1295	154800001	154900000	1.454450119191515	50	20	True		True	0.17382617382617382		False
cluster0	chr1	3	1245	1315	1	51	1296	154900001	155000000	2.0477611104161646	51	19	False	right_child_too_short	False			False
cluster0	chr1	3	1245	1315	6	52	1297	155000001	155100000	1.5022598890931993	52	18	False	right_child_too_short	False			False
cluster0	chr1	3	1245	1315	2	61	1306	155900001	156000000	2.018400652908246	61	9	False	right_child_too_short	False			False
cluster0	chr1	3	1245	1315	4	62	1307	156000001	156100000	1.610258947433584	62	8	False	right_child_too_short	False			False
cluster0	chr1	3	1245	1315	5	63	1308	156100001	156200000	1.556337812024599	63	7	False	right_child_too_short	False			False
cluster0	chr1	3	1245	1315	3	69	1314	156700001	156800000	1.8349931362270988	69	1	False	right_child_too_short	False			False
cluster0	chr1	2	1245	2104	1	70	1315	156800001	156900000	10.598820539479572	70	789	True		True	0.000999000999000999	0.000999000999000999	True
cluster0	chr1	4	1315	1414	4	65	1380	163400001	163500000	5.105534149826267	65	34	True		True	0.002997002997002997		False
cluster0	chr1	4	1315	1414	3	90	1405	165900001	166000000	5.113641936679744	90	9	False	right_child_too_short	False			False
cluster0	chr1	4	1315	1414	1	91	1406	166000001	166100000	5.470234425333996	91	8	False	right_child_too_short	False			False
cluster0	chr1	4	1315	1414	2	93	1408	166200001	166300000	5.15104179692127	93	6	False	right_child_too_short	False			False
cluster0	chr1	3	1315	2104	1	99	1414	166800001	166900000	13.3700005877281	99	690	True		True	0.000999000999000999	0.000999000999000999	True
cluster0	chr1	4	1414	2104	6	377	1791	204600001	204700000	3.8221402749356015	377	313	True		True	0.011988011988011988		False
cluster0	chr1	4	1414	2104	4	671	2085	234100001	234200000	4.3708000029337795	671	19	False	right_child_too_short	False			False
cluster0	chr1	4	1414	2104	5	672	2086	234200001	234300000	4.261971566378873	672	18	False	right_child_too_short	False			False
cluster0	chr1	4	1414	2104	1	673	2087	234300001	234400000	4.863006597901176	673	17	False	right_child_too_short	False			False
cluster0	chr1	4	1414	2104	2	674	2088	234400001	234500000	4.460543780790295	674	16	False	right_child_too_short	False			False
cluster0	chr1	4	1414	2104	3	675	2089	234500001	234600000	4.3935436155651	675	15	False	right_child_too_short	False			False
cluster0	chr1	1	1245	2232	7	859	2104	236000001	236100000	26.467647721539688	859	128	True		True	0.000999000999000999	0.000999000999000999	True
cluster0	chr1	2	2104	2232	43	59	2163	242000001	242100000	3.6083687834372453	59	69	True		True	0.017982017982017984		False
cluster0	chr1	2	2104	2232	42	82	2186	244300001	244400000	4.052140209149126	82	46	False	right_terminal_too_short	False			False
cluster0	chr1	2	2104	2232	41	83	2187	244400001	244500000	4.610418773544726	83	45	False	right_terminal_too_short	False			False
cluster0	chr1	2	2104	2232	33	84	2188	244500001	244600000	5.308922627735782	84	44	False	right_terminal_too_short	False			False
cluster0	chr1	2	2104	2232	34	85	2189	244600001	244700000	5.072527130907695	85	43	False	right_terminal_too_short	False			False
