source	chromosome	orig_seg_left	orig_seg_right	boundary_bin	len_left	len_right	median_left	median_right	delta_obs	frac_under_tau	n_valid	eligible	candidate	guard_range	reason
cluster0	chr1	0	1	50	50	406	0.6037841419196037	4.0279946482960005	-2.737956995724371	0.0	200	False	False	2.737956995724371	terminal_unchanged
cluster0	chr1	1	2	456	406	218	4.0279946482960005	3.3332623350334645	0.2731269013714211	0.0	200	False	False	0.27312690137142104	long_long_not_candidate
cluster0	chr1	2	3	674	218	89	3.3332623350334645	2.3893460313747314	0.4803190613562569	0.0	200	False	True	0.4803190613562569	effect_ge_tau
cluster0	chr1	3	4	763	89	420	2.3893460313747314	3.5414938795004938	-0.5677422451735691	0.0	200	False	True	0.567742245173569	effect_ge_tau
cluster0	chr1	4	5	1183	420	62	3.5414938795004938	2.2357195263479426	0.6636188372498276	0.0	200	False	True	0.6636188372498275	effect_ge_tau
cluster0	chr1	5	6	1245	62	70	2.2357195263479426	9.907111852790697	-2.147725328727034	0.0	200	False	True	2.147725328727034	effect_ge_tau
cluster0	chr1	6	7	1315	70	99	9.907111852790697	5.6648865186376325	0.8064174847966395	0.0	200	False	True	0.8064174847966394	effect_ge_tau
cluster0	chr1	7	8	1414	99	690	5.6648865186376325	7.506980875335675	-0.4061857519464878	0.0	200	False	True	0.40618575194648754	effect_ge_tau
cluster0	chr1	8	9	2104	690	128	7.506980875335675	4.758238685875046	0.6578051646261428	0.0	200	False	False	0.6578051646261427	terminal_unchanged
cluster1	chr1	0	1	50	50	406	0.4892252027990761	4.030035558141911	-3.0422219357180618	0.0	200	False	False	3.0422219357180618	terminal_unchanged
cluster1	chr1	1	2	456	406	218	4.030035558141911	3.2982773321975007	0.289079856736937	0.0	200	False	False	0.28907985673693704	long_long_not_candidate
cluster1	chr1	2	3	674	218	89	3.2982773321975007	2.43014850537622	0.440668232352398	0.0	200	False	True	0.44066823235239827	effect_ge_tau
cluster1	chr1	3	4	763	89	420	2.43014850537622	3.5203062450885034	-0.5346564609310787	0.0	200	False	True	0.5346564609310787	effect_ge_tau
cluster1	chr1	4	5	1183	420	62	3.5203062450885034	2.105507423498536	0.7415329778549964	0.0	200	False	True	0.7415329778549964	effect_ge_tau
cluster1	chr1	5	6	1245	62	70	2.105507423498536	10.003573609529289	-2.2482756035609355	0.0	200	False	True	2.2482756035609355	effect_ge_tau
cluster1	chr1	6	7	1315	70	99	10.003573609529289	5.41980415957326	0.884202843810127	0.0	200	False	True	0.8842028438101273	effect_ge_tau
cluster1	chr1	7	8	1414	99	690	5.41980415957326	7.485520300862326	-0.46586187624600706	0.0	200	False	True	0.46586187624600717	effect_ge_tau
cluster1	chr1	8	9	2104	690	128	7.485520300862326	4.773030072612447	0.6491971719386533	0.0	200	False	False	0.6491971719386531	terminal_unchanged
cluster2	chr1	0	1	50	50	406	0.773925716420361	4.051523257988425	-2.388197418284571	0.0	200	False	False	2.388197418284571	terminal_unchanged
cluster2	chr1	1	2	456	406	307	4.051523257988425	3.226286880336932	0.3285896943088358	0.0	200	False	False	0.3285896943088358	long_long_not_candidate
cluster2	chr1	2	3	763	307	420	3.226286880336932	3.7480884972361537	-0.21628028915055142	0.5	200	False	False	0.21628028915055153	long_long_not_candidate
cluster2	chr1	3	4	1183	420	62	3.7480884972361537	2.337194585420308	0.6813771651952015	0.0	200	False	True	0.6813771651952016	effect_ge_tau
cluster2	chr1	4	5	1245	62	70	2.337194585420308	9.822971084278063	-2.071381600157259	0.0	200	False	True	2.0713816001572587	effect_ge_tau
