source	chromosome	n_orig_segments	n_boundaries	n_nominated	n_eligible_default	n_merged_default	min_abs_delta_nominated	median_abs_delta_nominated	max_frac_under_default
cluster0	chr1	10	9	6	0	0	0.4062	0.6157	0.0
cluster0	chr13	3	2	0	0	0			
cluster0	chr2	12	11	8	0	0	0.3588	1.1451	0.0
cluster0	chr5	9	8	6	0	0	0.6186	1.7386	0.0
cluster0	chr7	14	13	10	0	0	0.7262	1.7563	0.0
cluster0	chr8	7	6	3	0	0	0.4253	0.4287	0.0
cluster0	chr9	9	8	6	0	0	0.7767	1.1098	0.0
cluster1	chr1	10	9	6	0	0	0.4407	0.6381	0.0
cluster1	chr13	3	2	0	0	0			
cluster1	chr2	12	11	8	0	0	0.3083	0.7777	0.0
cluster1	chr5	13	12	10	0	0	0.6419	1.8694	0.0
cluster1	chr7	15	14	10	0	0	0.7083	1.5978	0.0
cluster1	chr8	7	6	3	0	0	0.4369	0.5114	0.0
cluster1	chr9	6	5	3	0	0	1.2692	1.3642	0.0
cluster2	chr1	9	8	4	0	0	0.2491	0.6353	0.0
cluster2	chr13	7	6	4	0	0	0.3214	0.7424	0.0
cluster2	chr2	7	6	2	0	0	1.4542	1.5143	0.0
cluster2	chr5	14	13	11	0	0	0.4812	1.4428	0.0
cluster2	chr7	13	12	9	0	0	0.293	1.5828	0.01
cluster2	chr8	8	7	4	0	0	0.3051	0.8968	0.0
cluster2	chr9	6	5	3	0	0	0.8603	0.9419	0.0
cluster3	chr1	12	11	8	0	0	0.6444	0.8914	0.0
cluster3	chr13	8	7	3	0	0	0.5753	1.0386	0.0
cluster3	chr2	12	11	8	0	0	0.5833	1.6867	0.0
cluster3	chr5	16	15	13	0	0	0.3375	0.853	0.0
cluster3	chr7	17	16	14	0	0	0.4947	0.8324	0.0
cluster3	chr8	7	6	3	0	0	0.6061	0.76	0.0
cluster3	chr9	12	11	9	0	0	0.5418	1.1704	0.0
cluster4	chr1	10	9	7	0	0	0.5517	0.8341	0.0
cluster4	chr13	3	2	0	0	0			
cluster4	chr2	6	5	1	0	0	0.4564	0.4564	0.0
cluster4	chr5	7	6	4	0	0	0.5126	1.1189	0.0
cluster4	chr7	15	14	10	0	0	0.76	1.6957	0.0
cluster4	chr8	11	10	8	0	0	0.7835	1.4634	0.0
cluster4	chr9	4	3	1	0	0	0.9	0.9	0.0
