source	chromosome	n_cells	seg_id	bin_start	bin_end	seg_length	Mb_start	Mb_end	mean_rate	median_level	median_level_left	median_level_right	delta_left_median	delta_right_median	log2fc_left	log2fc_right	srd_left	srd_right	srd_phi_left	srd_phi_right	pooled_phi	proposal	proposed_boundary_bin
all	chr1	3460	3	674	763	89	68600001.0	77400001.1	2.9474	2.5081	3.4024	3.588	-0.44	-0.5166	-0.3692	-0.4926	-3.6908	-5.3752	-2.5843	-3.7638	2.0396	merge_left	674.0
all	chr1	3460	5	1183	1245	62	120000001.0	149700001.1	3.6147	2.2418	3.588	9.8553	-0.6786	-2.1363	-0.1982	-1.5649	-1.97	-15.4378	-1.3794	-10.8098	2.0396	merge_left	1183.0
all	chr1	3460	6	1245	1315	70	149800001.0	156700001.1	10.6942	9.8553	2.2418	5.7321	2.1363	0.7818	1.5649	0.7257	15.4378	9.3565	10.8098	6.5516	2.0396	keep_focal	
all	chr1	3460	7	1315	1414	99	156800001.0	166700001.1	6.4668	5.7321	9.8553	7.5538	-0.7818	-0.3981	-0.7257	-0.4302	-9.3565	-7.4666	-6.5516	-5.2282	2.0396	keep_focal	
cluster0	chr1	1286	3	674	763	89	68600001.0	77400001.1	2.9081	2.3893	3.3333	3.5415	-0.4803	-0.5677	-0.386	-0.5092	-3.8429	-5.5321	-2.6384	-3.7982	2.1214	merge_left	674.0
cluster0	chr1	1286	5	1183	1245	62	120000001.0	149700001.1	3.6265	2.2357	3.5415	9.9071	-0.6636	-2.1477	-0.1908	-1.5627	-1.8978	-15.4361	-1.303	-10.598	2.1214	merge_left	1183.0
cluster0	chr1	1286	6	1245	1315	70	149800001.0	156700001.1	10.713	9.9071	2.2357	5.6649	2.1477	0.8064	1.5627	0.7303	15.4361	9.4173	10.598	6.4656	2.1214	keep_focal	
cluster0	chr1	1286	7	1315	1414	99	156800001.0	166700001.1	6.4574	5.6649	9.9071	7.507	-0.8064	-0.4062	-0.7303	-0.4295	-9.4173	-7.4495	-6.4656	-5.1146	2.1214	keep_focal	
cluster1	chr1	833	3	674	763	89	68600001.0	77400001.1	2.9132	2.4301	3.2983	3.5203	-0.4407	-0.5347	-0.3934	-0.521	-3.9241	-5.6744	-2.6003	-3.7601	2.2774	merge_left	674.0
cluster1	chr1	833	5	1183	1245	62	120000001.0	149700001.1	3.7331	2.1055	3.5203	10.0036	-0.7415	-2.2483	-0.1633	-1.5288	-1.6419	-15.232	-1.088	-10.0934	2.2774	merge_left	1183.0
cluster1	chr1	833	6	1245	1315	70	149800001.0	156700001.1	10.7714	10.0036	2.1055	5.4198	2.2483	0.8842	1.5288	0.7513	15.232	9.6808	10.0934	6.415	2.2774	keep_focal	
cluster1	chr1	833	7	1315	1414	99	156800001.0	166700001.1	6.3989	5.4198	10.0036	7.4855	-0.8842	-0.4659	-0.7513	-0.4544	-9.6808	-7.8715	-6.415	-5.216	2.2774	keep_focal	
cluster2	chr1	603	4	1183	1245	62	120000001.0	149700001.1	3.5725	2.3372	3.7481	9.823	-0.6814	-2.0714	-0.2103	-1.5154	-2.0818	-14.7363	-1.8013	-12.7504	1.3358	merge_left	1183.0
cluster2	chr1	603	5	1245	1315	70	149800001.0	156700001.1	10.2128	9.823	2.3372	6.5295	2.0714	0.5892	1.5154	0.557	14.7363	7.2142	12.7504	6.242	1.3358	keep_focal	
cluster2	chr1	603	6	1315	1414	99	156800001.0	166700001.1	6.9416	6.5295	9.823	7.7603	-0.5892	-0.2491	-0.557	-0.309	-7.2142	-5.4677	-6.242	-4.7309	1.3358	keep_focal	
cluster3	chr1	556	2	463	493	30	47500001.0	50400001.1	1.9877	1.9422	4.1289	3.0359	-1.088	-0.6444	-1.1103	-0.8875	-6.6246	-5.1045	-4.2021	-3.2379	2.4854	merge_right	493.0
cluster3	chr1	556	5	1183	1245	62	120000001.0	149700001.1	3.4686	2.1096	3.6389	10.6486	-0.7865	-2.3356	-0.2908	-1.6907	-2.8368	-16.6965	-1.7994	-10.5908	2.4854	merge_left	1183.0
cluster3	chr1	556	6	1245	1315	70	149800001.0	156700001.1	11.1974	10.6486	2.1096	4.1473	2.3356	1.3604	1.6907	1.1824	16.6965	8.6878	10.5908	5.5108	2.4854	keep_focal	
cluster3	chr1	556	7	1315	1336	21	156800001.0	158800001.1	4.9338	4.1473	10.6486	7.0253	-1.3604	-0.7604	-1.1824	-0.7619	-8.6878	-4.9725	-5.5108	-3.1541	2.4854	merge_right	1336.0
