source	chromosome	tau	stab	n_orig_boundaries	n_merged	n_retained	n_simplified_segments
cluster0	chr1	0.15	0.8	9	0	9	10
cluster0	chr1	0.15	0.9	9	0	9	10
cluster0	chr1	0.15	0.95	9	0	9	10
cluster0	chr1	0.2	0.8	9	0	9	10
cluster0	chr1	0.2	0.9	9	0	9	10
cluster0	chr1	0.2	0.95	9	0	9	10
cluster0	chr1	0.25	0.8	9	0	9	10
cluster0	chr1	0.25	0.9	9	0	9	10
cluster0	chr1	0.25	0.95	9	0	9	10
cluster1	chr1	0.15	0.8	9	0	9	10
cluster1	chr1	0.15	0.9	9	0	9	10
cluster1	chr1	0.15	0.95	9	0	9	10
cluster1	chr1	0.2	0.8	9	0	9	10
cluster1	chr1	0.2	0.9	9	0	9	10
cluster1	chr1	0.2	0.95	9	0	9	10
cluster1	chr1	0.25	0.8	9	0	9	10
cluster1	chr1	0.25	0.9	9	0	9	10
cluster1	chr1	0.25	0.95	9	0	9	10
cluster2	chr1	0.15	0.8	8	0	8	9
cluster2	chr1	0.15	0.9	8	0	8	9
cluster2	chr1	0.15	0.95	8	0	8	9
cluster2	chr1	0.2	0.8	8	0	8	9
cluster2	chr1	0.2	0.9	8	0	8	9
cluster2	chr1	0.2	0.95	8	0	8	9
cluster2	chr1	0.25	0.8	8	0	8	9
cluster2	chr1	0.25	0.9	8	0	8	9
cluster2	chr1	0.25	0.95	8	0	8	9
cluster3	chr1	0.15	0.8	11	0	11	12
cluster3	chr1	0.15	0.9	11	0	11	12
cluster3	chr1	0.15	0.95	11	0	11	12
cluster3	chr1	0.2	0.8	11	0	11	12
cluster3	chr1	0.2	0.9	11	0	11	12
cluster3	chr1	0.2	0.95	11	0	11	12
cluster3	chr1	0.25	0.8	11	0	11	12
cluster3	chr1	0.25	0.9	11	0	11	12
cluster3	chr1	0.25	0.95	11	0	11	12
cluster4	chr1	0.15	0.8	9	0	9	10
cluster4	chr1	0.15	0.9	9	0	9	10
cluster4	chr1	0.15	0.95	9	0	9	10
cluster4	chr1	0.2	0.8	9	0	9	10
cluster4	chr1	0.2	0.9	9	0	9	10
cluster4	chr1	0.2	0.95	9	0	9	10
cluster4	chr1	0.25	0.8	9	0	9	10
cluster4	chr1	0.25	0.9	9	0	9	10
cluster4	chr1	0.25	0.95	9	0	9	10
cluster0	chr2	0.15	0.8	11	0	11	12
cluster0	chr2	0.15	0.9	11	0	11	12
cluster0	chr2	0.15	0.95	11	0	11	12
cluster0	chr2	0.2	0.8	11	0	11	12
cluster0	chr2	0.2	0.9	11	0	11	12
cluster0	chr2	0.2	0.95	11	0	11	12
cluster0	chr2	0.25	0.8	11	0	11	12
cluster0	chr2	0.25	0.9	11	0	11	12
cluster0	chr2	0.25	0.95	11	0	11	12
cluster1	chr2	0.15	0.8	11	0	11	12
cluster1	chr2	0.15	0.9	11	0	11	12
cluster1	chr2	0.15	0.95	11	0	11	12
cluster1	chr2	0.2	0.8	11	0	11	12
cluster1	chr2	0.2	0.9	11	0	11	12
cluster1	chr2	0.2	0.95	11	0	11	12
cluster1	chr2	0.25	0.8	11	0	11	12
cluster1	chr2	0.25	0.9	11	0	11	12
cluster1	chr2	0.25	0.95	11	0	11	12
cluster2	chr2	0.15	0.8	6	0	6	7
cluster2	chr2	0.15	0.9	6	0	6	7
cluster2	chr2	0.15	0.95	6	0	6	7
cluster2	chr2	0.2	0.8	6	0	6	7
cluster2	chr2	0.2	0.9	6	0	6	7
cluster2	chr2	0.2	0.95	6	0	6	7
cluster2	chr2	0.25	0.8	6	0	6	7
cluster2	chr2	0.25	0.9	6	0	6	7
cluster2	chr2	0.25	0.95	6	0	6	7
cluster3	chr2	0.15	0.8	11	0	11	12
cluster3	chr2	0.15	0.9	11	0	11	12
cluster3	chr2	0.15	0.95	11	0	11	12
cluster3	chr2	0.2	0.8	11	0	11	12
cluster3	chr2	0.2	0.9	11	0	11	12
cluster3	chr2	0.2	0.95	11	0	11	12
cluster3	chr2	0.25	0.8	11	0	11	12
cluster3	chr2	0.25	0.9	11	0	11	12
cluster3	chr2	0.25	0.95	11	0	11	12
cluster4	chr2	0.15	0.8	5	0	5	6
cluster4	chr2	0.15	0.9	5	0	5	6
cluster4	chr2	0.15	0.95	5	0	5	6
cluster4	chr2	0.2	0.8	5	0	5	6
cluster4	chr2	0.2	0.9	5	0	5	6
cluster4	chr2	0.2	0.95	5	0	5	6
cluster4	chr2	0.25	0.8	5	0	5	6
cluster4	chr2	0.25	0.9	5	0	5	6
cluster4	chr2	0.25	0.95	5	0	5	6
cluster0	chr5	0.15	0.8	8	0	8	9
cluster0	chr5	0.15	0.9	8	0	8	9
cluster0	chr5	0.15	0.95	8	0	8	9
cluster0	chr5	0.2	0.8	8	0	8	9
cluster0	chr5	0.2	0.9	8	0	8	9
cluster0	chr5	0.2	0.95	8	0	8	9
cluster0	chr5	0.25	0.8	8	0	8	9
cluster0	chr5	0.25	0.9	8	0	8	9
cluster0	chr5	0.25	0.95	8	0	8	9
cluster1	chr5	0.15	0.8	12	0	12	13
cluster1	chr5	0.15	0.9	12	0	12	13
cluster1	chr5	0.15	0.95	12	0	12	13
cluster1	chr5	0.2	0.8	12	0	12	13
cluster1	chr5	0.2	0.9	12	0	12	13
cluster1	chr5	0.2	0.95	12	0	12	13
cluster1	chr5	0.25	0.8	12	0	12	13
cluster1	chr5	0.25	0.9	12	0	12	13
cluster1	chr5	0.25	0.95	12	0	12	13
cluster2	chr5	0.15	0.8	13	0	13	14
cluster2	chr5	0.15	0.9	13	0	13	14
cluster2	chr5	0.15	0.95	13	0	13	14
cluster2	chr5	0.2	0.8	13	0	13	14
cluster2	chr5	0.2	0.9	13	0	13	14
cluster2	chr5	0.2	0.95	13	0	13	14
cluster2	chr5	0.25	0.8	13	0	13	14
cluster2	chr5	0.25	0.9	13	0	13	14
cluster2	chr5	0.25	0.95	13	0	13	14
cluster3	chr5	0.15	0.8	15	0	15	16
cluster3	chr5	0.15	0.9	15	0	15	16
cluster3	chr5	0.15	0.95	15	0	15	16
cluster3	chr5	0.2	0.8	15	0	15	16
cluster3	chr5	0.2	0.9	15	0	15	16
cluster3	chr5	0.2	0.95	15	0	15	16
cluster3	chr5	0.25	0.8	15	0	15	16
cluster3	chr5	0.25	0.9	15	0	15	16
cluster3	chr5	0.25	0.95	15	0	15	16
cluster4	chr5	0.15	0.8	6	0	6	7
cluster4	chr5	0.15	0.9	6	0	6	7
cluster4	chr5	0.15	0.95	6	0	6	7
cluster4	chr5	0.2	0.8	6	0	6	7
cluster4	chr5	0.2	0.9	6	0	6	7
cluster4	chr5	0.2	0.95	6	0	6	7
cluster4	chr5	0.25	0.8	6	0	6	7
cluster4	chr5	0.25	0.9	6	0	6	7
cluster4	chr5	0.25	0.95	6	0	6	7
cluster0	chr7	0.15	0.8	13	0	13	14
cluster0	chr7	0.15	0.9	13	0	13	14
cluster0	chr7	0.15	0.95	13	0	13	14
cluster0	chr7	0.2	0.8	13	0	13	14
cluster0	chr7	0.2	0.9	13	0	13	14
cluster0	chr7	0.2	0.95	13	0	13	14
cluster0	chr7	0.25	0.8	13	0	13	14
cluster0	chr7	0.25	0.9	13	0	13	14
cluster0	chr7	0.25	0.95	13	0	13	14
cluster1	chr7	0.15	0.8	14	0	14	15
cluster1	chr7	0.15	0.9	14	0	14	15
cluster1	chr7	0.15	0.95	14	0	14	15
cluster1	chr7	0.2	0.8	14	0	14	15
cluster1	chr7	0.2	0.9	14	0	14	15
cluster1	chr7	0.2	0.95	14	0	14	15
cluster1	chr7	0.25	0.8	14	0	14	15
cluster1	chr7	0.25	0.9	14	0	14	15
cluster1	chr7	0.25	0.95	14	0	14	15
cluster2	chr7	0.15	0.8	12	0	12	13
cluster2	chr7	0.15	0.9	12	0	12	13
cluster2	chr7	0.15	0.95	12	0	12	13
cluster2	chr7	0.2	0.8	12	0	12	13
cluster2	chr7	0.2	0.9	12	0	12	13
cluster2	chr7	0.2	0.95	12	0	12	13
cluster2	chr7	0.25	0.8	12	0	12	13
cluster2	chr7	0.25	0.9	12	0	12	13
cluster2	chr7	0.25	0.95	12	0	12	13
cluster3	chr7	0.15	0.8	16	0	16	17
cluster3	chr7	0.15	0.9	16	0	16	17
cluster3	chr7	0.15	0.95	16	0	16	17
cluster3	chr7	0.2	0.8	16	0	16	17
cluster3	chr7	0.2	0.9	16	0	16	17
cluster3	chr7	0.2	0.95	16	0	16	17
cluster3	chr7	0.25	0.8	16	0	16	17
cluster3	chr7	0.25	0.9	16	0	16	17
cluster3	chr7	0.25	0.95	16	0	16	17
cluster4	chr7	0.15	0.8	14	0	14	15
cluster4	chr7	0.15	0.9	14	0	14	15
cluster4	chr7	0.15	0.95	14	0	14	15
cluster4	chr7	0.2	0.8	14	0	14	15
cluster4	chr7	0.2	0.9	14	0	14	15
cluster4	chr7	0.2	0.95	14	0	14	15
cluster4	chr7	0.25	0.8	14	0	14	15
cluster4	chr7	0.25	0.9	14	0	14	15
cluster4	chr7	0.25	0.95	14	0	14	15
cluster0	chr8	0.15	0.8	6	0	6	7
cluster0	chr8	0.15	0.9	6	0	6	7
cluster0	chr8	0.15	0.95	6	0	6	7
cluster0	chr8	0.2	0.8	6	0	6	7
cluster0	chr8	0.2	0.9	6	0	6	7
cluster0	chr8	0.2	0.95	6	0	6	7
cluster0	chr8	0.25	0.8	6	0	6	7
cluster0	chr8	0.25	0.9	6	0	6	7
cluster0	chr8	0.25	0.95	6	0	6	7
cluster1	chr8	0.15	0.8	6	0	6	7
cluster1	chr8	0.15	0.9	6	0	6	7
cluster1	chr8	0.15	0.95	6	0	6	7
cluster1	chr8	0.2	0.8	6	0	6	7
cluster1	chr8	0.2	0.9	6	0	6	7
cluster1	chr8	0.2	0.95	6	0	6	7
cluster1	chr8	0.25	0.8	6	0	6	7
cluster1	chr8	0.25	0.9	6	0	6	7
cluster1	chr8	0.25	0.95	6	0	6	7
cluster2	chr8	0.15	0.8	7	0	7	8
cluster2	chr8	0.15	0.9	7	0	7	8
cluster2	chr8	0.15	0.95	7	0	7	8
cluster2	chr8	0.2	0.8	7	0	7	8
cluster2	chr8	0.2	0.9	7	0	7	8
cluster2	chr8	0.2	0.95	7	0	7	8
cluster2	chr8	0.25	0.8	7	0	7	8
cluster2	chr8	0.25	0.9	7	0	7	8
cluster2	chr8	0.25	0.95	7	0	7	8
cluster3	chr8	0.15	0.8	6	0	6	7
cluster3	chr8	0.15	0.9	6	0	6	7
cluster3	chr8	0.15	0.95	6	0	6	7
cluster3	chr8	0.2	0.8	6	0	6	7
cluster3	chr8	0.2	0.9	6	0	6	7
cluster3	chr8	0.2	0.95	6	0	6	7
cluster3	chr8	0.25	0.8	6	0	6	7
cluster3	chr8	0.25	0.9	6	0	6	7
cluster3	chr8	0.25	0.95	6	0	6	7
cluster4	chr8	0.15	0.8	10	0	10	11
cluster4	chr8	0.15	0.9	10	0	10	11
cluster4	chr8	0.15	0.95	10	0	10	11
cluster4	chr8	0.2	0.8	10	0	10	11
cluster4	chr8	0.2	0.9	10	0	10	11
cluster4	chr8	0.2	0.95	10	0	10	11
cluster4	chr8	0.25	0.8	10	0	10	11
cluster4	chr8	0.25	0.9	10	0	10	11
cluster4	chr8	0.25	0.95	10	0	10	11
cluster0	chr9	0.15	0.8	8	0	8	9
cluster0	chr9	0.15	0.9	8	0	8	9
cluster0	chr9	0.15	0.95	8	0	8	9
cluster0	chr9	0.2	0.8	8	0	8	9
cluster0	chr9	0.2	0.9	8	0	8	9
cluster0	chr9	0.2	0.95	8	0	8	9
cluster0	chr9	0.25	0.8	8	0	8	9
cluster0	chr9	0.25	0.9	8	0	8	9
cluster0	chr9	0.25	0.95	8	0	8	9
cluster1	chr9	0.15	0.8	5	0	5	6
cluster1	chr9	0.15	0.9	5	0	5	6
cluster1	chr9	0.15	0.95	5	0	5	6
cluster1	chr9	0.2	0.8	5	0	5	6
cluster1	chr9	0.2	0.9	5	0	5	6
cluster1	chr9	0.2	0.95	5	0	5	6
cluster1	chr9	0.25	0.8	5	0	5	6
cluster1	chr9	0.25	0.9	5	0	5	6
cluster1	chr9	0.25	0.95	5	0	5	6
cluster2	chr9	0.15	0.8	5	0	5	6
cluster2	chr9	0.15	0.9	5	0	5	6
cluster2	chr9	0.15	0.95	5	0	5	6
cluster2	chr9	0.2	0.8	5	0	5	6
cluster2	chr9	0.2	0.9	5	0	5	6
cluster2	chr9	0.2	0.95	5	0	5	6
cluster2	chr9	0.25	0.8	5	0	5	6
cluster2	chr9	0.25	0.9	5	0	5	6
cluster2	chr9	0.25	0.95	5	0	5	6
cluster3	chr9	0.15	0.8	11	0	11	12
cluster3	chr9	0.15	0.9	11	0	11	12
cluster3	chr9	0.15	0.95	11	0	11	12
cluster3	chr9	0.2	0.8	11	0	11	12
cluster3	chr9	0.2	0.9	11	0	11	12
cluster3	chr9	0.2	0.95	11	0	11	12
cluster3	chr9	0.25	0.8	11	0	11	12
cluster3	chr9	0.25	0.9	11	0	11	12
cluster3	chr9	0.25	0.95	11	0	11	12
cluster4	chr9	0.15	0.8	3	0	3	4
cluster4	chr9	0.15	0.9	3	0	3	4
cluster4	chr9	0.15	0.95	3	0	3	4
cluster4	chr9	0.2	0.8	3	0	3	4
cluster4	chr9	0.2	0.9	3	0	3	4
cluster4	chr9	0.2	0.95	3	0	3	4
cluster4	chr9	0.25	0.8	3	0	3	4
cluster4	chr9	0.25	0.9	3	0	3	4
cluster4	chr9	0.25	0.95	3	0	3	4
cluster0	chr13	0.15	0.8	2	0	2	3
cluster0	chr13	0.15	0.9	2	0	2	3
cluster0	chr13	0.15	0.95	2	0	2	3
cluster0	chr13	0.2	0.8	2	0	2	3
cluster0	chr13	0.2	0.9	2	0	2	3
cluster0	chr13	0.2	0.95	2	0	2	3
cluster0	chr13	0.25	0.8	2	0	2	3
