source	chromosome	orig_boundary_id	boundary_bin	Mb_boundary	left_orig_seg	right_orig_seg	left_bins	right_bins	removed	retained	final_reason
cluster0	chr1	0	50	5.9	0	1	50	406	False	True	terminal_unchanged
cluster0	chr1	1	456	46.8	1	2	406	218	False	True	long_long_not_candidate
cluster0	chr1	2	674	68.6	2	3	218	89	False	True	effect_ge_tau
cluster0	chr1	3	763	77.5	3	4	89	420	False	True	effect_ge_tau
cluster0	chr1	4	1183	120.0	4	5	420	62	False	True	effect_ge_tau
cluster0	chr1	5	1245	149.8	5	6	62	70	False	True	effect_ge_tau
cluster0	chr1	6	1315	156.8	6	7	70	99	False	True	effect_ge_tau
cluster0	chr1	7	1414	166.8	7	8	99	690	False	True	effect_ge_tau
cluster0	chr1	8	2104	236.0	8	9	690	128	False	True	terminal_unchanged
cluster1	chr1	0	50	5.9	0	1	50	406	False	True	terminal_unchanged
cluster1	chr1	1	456	46.8	1	2	406	218	False	True	long_long_not_candidate
cluster1	chr1	2	674	68.6	2	3	218	89	False	True	effect_ge_tau
cluster1	chr1	3	763	77.5	3	4	89	420	False	True	effect_ge_tau
cluster1	chr1	4	1183	120.0	4	5	420	62	False	True	effect_ge_tau
cluster1	chr1	5	1245	149.8	5	6	62	70	False	True	effect_ge_tau
cluster1	chr1	6	1315	156.8	6	7	70	99	False	True	effect_ge_tau
cluster1	chr1	7	1414	166.8	7	8	99	690	False	True	effect_ge_tau
cluster1	chr1	8	2104	236.0	8	9	690	128	False	True	terminal_unchanged
cluster2	chr1	0	50	5.9	0	1	50	406	False	True	terminal_unchanged
cluster2	chr1	1	456	46.8	1	2	406	307	False	True	long_long_not_candidate
cluster2	chr1	2	763	77.5	2	3	307	420	False	True	long_long_not_candidate
cluster2	chr1	3	1183	120.0	3	4	420	62	False	True	effect_ge_tau
cluster2	chr1	4	1245	149.8	4	5	62	70	False	True	effect_ge_tau
cluster2	chr1	5	1315	156.8	5	6	70	99	False	True	effect_ge_tau
cluster2	chr1	6	1414	166.8	6	7	99	690	False	True	effect_ge_tau
cluster2	chr1	7	2104	236.0	7	8	690	128	False	True	terminal_unchanged
cluster3	chr1	0	50	5.9	0	1	50	413	False	True	terminal_unchanged
cluster3	chr1	1	463	47.5	1	2	413	30	False	True	effect_ge_tau
cluster3	chr1	2	493	50.5	2	3	30	333	False	True	effect_ge_tau
cluster3	chr1	3	826	83.8	3	4	333	357	False	True	long_long_not_candidate
cluster3	chr1	4	1183	120.0	4	5	357	62	False	True	effect_ge_tau
cluster3	chr1	5	1245	149.8	5	6	62	70	False	True	effect_ge_tau
cluster3	chr1	6	1315	156.8	6	7	70	21	False	True	effect_ge_tau
cluster3	chr1	7	1336	158.9	7	8	21	44	False	True	effect_ge_tau
cluster3	chr1	8	1380	163.4	8	9	44	34	False	True	effect_ge_tau
cluster3	chr1	9	1414	166.8	9	10	34	690	False	True	effect_ge_tau
cluster3	chr1	10	2104	236.0	10	11	690	128	False	True	terminal_unchanged
cluster4	chr1	0	50	5.9	0	1	50	406	False	True	terminal_unchanged
cluster4	chr1	1	456	46.8	1	2	406	37	False	True	effect_ge_tau
cluster4	chr1	2	493	50.5	2	3	37	690	False	True	effect_ge_tau
cluster4	chr1	3	1183	120.0	3	4	690	62	False	True	effect_ge_tau
cluster4	chr1	4	1245	149.8	4	5	62	70	False	True	effect_ge_tau
cluster4	chr1	5	1315	156.8	5	6	70	65	False	True	effect_ge_tau
cluster4	chr1	6	1380	163.4	6	7	65	34	False	True	effect_ge_tau
cluster4	chr1	7	1414	166.8	7	8	34	690	False	True	effect_ge_tau
cluster4	chr1	8	2104	236.0	8	9	690	128	False	True	terminal_unchanged
cluster0	chr2	0	81	8.6	0	1	81	44	False	True	terminal_unchanged
cluster0	chr2	1	125	13.1	1	2	44	199	False	True	effect_ge_tau
cluster0	chr2	2	324	33.6	2	3	199	25	False	True	effect_ge_tau
cluster0	chr2	3	349	36.3	3	4	25	33	False	True	effect_ge_tau
cluster0	chr2	4	382	39.6	4	5	33	362	False	True	effect_ge_tau
cluster0	chr2	5	744	76.0	5	6	362	22	False	True	effect_ge_tau
cluster0	chr2	6	766	80.8	6	7	22	144	False	True	effect_ge_tau
cluster0	chr2	7	910	102.8	7	8	144	46	False	True	effect_ge_tau
cluster0	chr2	8	956	107.5	8	9	46	278	False	True	effect_ge_tau
cluster0	chr2	9	1234	142.1	9	10	278	932	False	True	long_long_not_candidate
cluster0	chr2	10	2166	235.8	10	11	932	59	False	True	terminal_unchanged
cluster1	chr2	0	81	8.6	0	1	81	60	False	True	terminal_unchanged
cluster1	chr2	1	141	14.8	1	2	60	183	False	True	effect_ge_tau
cluster1	chr2	2	324	33.6	2	3	183	25	False	True	effect_ge_tau
cluster1	chr2	3	349	36.3	3	4	25	33	False	True	effect_ge_tau
cluster1	chr2	4	382	39.6	4	5	33	362	False	True	effect_ge_tau
cluster1	chr2	5	744	76.0	5	6	362	21	False	True	effect_ge_tau
cluster1	chr2	6	765	80.7	6	7	21	145	False	True	effect_ge_tau
cluster1	chr2	7	910	102.8	7	8	145	233	False	True	long_long_not_candidate
cluster1	chr2	8	1143	133.0	8	9	233	91	False	True	effect_ge_tau
cluster1	chr2	9	1234	142.1	9	10	91	932	False	True	effect_ge_tau
cluster1	chr2	10	2166	235.8	10	11	932	59	False	True	terminal_unchanged
cluster2	chr2	0	83	8.8	0	1	83	661	False	True	terminal_unchanged
cluster2	chr2	1	744	76.0	1	2	661	21	False	True	effect_ge_tau
cluster2	chr2	2	765	80.7	2	3	21	145	False	True	effect_ge_tau
cluster2	chr2	3	910	102.8	3	4	145	322	False	True	long_long_not_candidate
cluster2	chr2	4	1232	141.9	4	5	322	895	False	True	long_long_not_candidate
cluster2	chr2	5	2127	231.8	5	6	895	98	False	True	terminal_unchanged
cluster3	chr2	0	81	8.6	0	1	81	44	False	True	terminal_unchanged
cluster3	chr2	1	125	13.1	1	2	44	77	False	True	effect_ge_tau
cluster3	chr2	2	202	20.9	2	3	77	21	False	True	effect_ge_tau
cluster3	chr2	3	223	23.3	3	4	21	521	False	True	effect_ge_tau
cluster3	chr2	4	744	76.0	4	5	521	22	False	True	effect_ge_tau
cluster3	chr2	5	766	80.8	5	6	22	123	False	True	effect_ge_tau
cluster3	chr2	6	889	100.7	6	7	123	21	False	True	effect_ge_tau
cluster3	chr2	7	910	102.8	7	8	21	52	False	True	effect_ge_tau
cluster3	chr2	8	962	108.1	8	9	52	253	False	True	effect_ge_tau
cluster3	chr2	9	1215	140.2	9	10	253	948	False	True	long_long_not_candidate
cluster3	chr2	10	2163	235.5	10	11	948	62	False	True	terminal_unchanged
cluster4	chr2	0	83	8.8	0	1	83	42	False	True	terminal_unchanged
cluster4	chr2	1	125	13.1	1	2	42	780	False	True	effect_ge_tau
cluster4	chr2	2	905	102.3	2	3	780	327	False	True	long_long_not_candidate
cluster4	chr2	3	1232	141.9	3	4	327	934	False	True	long_long_not_candidate
cluster4	chr2	4	2166	235.8	4	5	934	59	False	True	terminal_unchanged
cluster0	chr5	0	50	5.7	0	1	50	24	False	True	terminal_unchanged
cluster0	chr5	1	74	8.4	1	2	24	60	False	True	effect_ge_tau
cluster0	chr5	2	134	14.4	2	3	60	20	False	True	effect_ge_tau
cluster0	chr5	3	154	16.4	3	4	20	855	False	True	effect_ge_tau
cluster0	chr5	4	1009	110.7	4	5	855	28	False	True	effect_ge_tau
cluster0	chr5	5	1037	113.6	5	6	28	52	False	True	effect_ge_tau
cluster0	chr5	6	1089	118.9	6	7	52	324	False	True	effect_ge_tau
cluster0	chr5	7	1413	151.8	7	8	324	282	False	True	terminal_unchanged
cluster1	chr5	0	50	5.7	0	1	50	24	False	True	terminal_unchanged
cluster1	chr5	1	74	8.4	1	2	24	60	False	True	effect_ge_tau
cluster1	chr5	2	134	14.4	2	3	60	20	False	True	effect_ge_tau
cluster1	chr5	3	154	16.4	3	4	20	883	False	True	effect_ge_tau
cluster1	chr5	4	1037	113.6	4	5	883	52	False	True	effect_ge_tau
cluster1	chr5	5	1089	118.9	5	6	52	325	False	True	effect_ge_tau
cluster1	chr5	6	1414	151.9	6	7	325	30	False	True	effect_ge_tau
cluster1	chr5	7	1444	155.0	7	8	30	20	False	True	effect_ge_tau
cluster1	chr5	8	1464	157.1	8	9	20	39	False	True	effect_ge_tau
cluster1	chr5	9	1503	161.0	9	10	39	22	False	True	effect_ge_tau
cluster1	chr5	10	1525	163.3	10	11	22	107	False	True	effect_ge_tau
cluster1	chr5	11	1632	174.1	11	12	107	63	False	True	terminal_unchanged
cluster2	chr5	0	50	5.7	0	1	50	24	False	True	terminal_unchanged
cluster2	chr5	1	74	8.4	1	2	24	60	False	True	effect_ge_tau
cluster2	chr5	2	134	14.4	2	3	60	20	False	True	effect_ge_tau
cluster2	chr5	3	154	16.4	3	4	20	855	False	True	effect_ge_tau
cluster2	chr5	4	1009	110.7	4	5	855	28	False	True	effect_ge_tau
cluster2	chr5	5	1037	113.6	5	6	28	53	False	True	effect_ge_tau
cluster2	chr5	6	1090	119.0	6	7	53	324	False	True	effect_ge_tau
cluster2	chr5	7	1414	151.9	7	8	324	30	False	True	effect_ge_tau
cluster2	chr5	8	1444	155.0	8	9	30	20	False	True	effect_ge_tau
cluster2	chr5	9	1464	157.1	9	10	20	39	False	True	effect_ge_tau
cluster2	chr5	10	1503	161.0	10	11	39	22	False	True	effect_ge_tau
cluster2	chr5	11	1525	163.3	11	12	22	107	False	True	effect_ge_tau
cluster2	chr5	12	1632	174.1	12	13	107	63	False	True	terminal_unchanged
cluster3	chr5	0	50	5.7	0	1	50	24	False	True	terminal_unchanged
cluster3	chr5	1	74	8.4	1	2	24	80	False	True	effect_ge_tau
cluster3	chr5	2	154	16.4	2	3	80	191	False	True	effect_ge_tau
cluster3	chr5	3	345	36.1	3	4	191	59	False	True	effect_ge_tau
cluster3	chr5	4	404	42.0	4	5	59	47	False	True	effect_ge_tau
cluster3	chr5	5	451	51.3	5	6	47	587	False	True	effect_ge_tau
cluster3	chr5	6	1038	113.7	6	7	587	52	False	True	effect_ge_tau
cluster3	chr5	7	1090	119.0	7	8	52	292	False	True	effect_ge_tau
cluster3	chr5	8	1382	148.7	8	9	292	32	False	True	effect_ge_tau
cluster3	chr5	9	1414	151.9	9	10	32	68	False	True	effect_ge_tau
cluster3	chr5	10	1482	158.9	10	11	68	21	False	True	effect_ge_tau
cluster3	chr5	11	1503	161.0	11	12	21	22	False	True	effect_ge_tau
cluster3	chr5	12	1525	163.3	12	13	22	85	False	True	effect_ge_tau
cluster3	chr5	13	1610	171.9	13	14	85	22	False	True	effect_ge_tau
cluster3	chr5	14	1632	174.1	14	15	22	63	False	True	terminal_unchanged
cluster4	chr5	0	154	16.4	0	1	154	883	False	True	terminal_unchanged
cluster4	chr5	1	1037	113.6	1	2	883	53	False	True	effect_ge_tau
cluster4	chr5	2	1090	119.0	2	3	53	324	False	True	effect_ge_tau
cluster4	chr5	3	1414	151.9	3	4	324	89	False	True	effect_ge_tau
cluster4	chr5	4	1503	161.0	4	5	89	22	False	True	effect_ge_tau
