source	chromosome	seg_id	n_orig_constituents	orig_seg_ids	bin_start	bin_end	seg_length	Mb_start	Mb_end	median_obs	merged	constituent_log2_range
cluster0	chr1	0	1	0	0	50	50	0.8	5.9	0.60378	False	0.0
cluster0	chr1	1	1	1	50	456	406	5.9	46.8	4.02799	False	0.0
cluster0	chr1	2	1	2	456	674	218	46.8	68.6	3.33326	False	0.0
cluster0	chr1	3	1	3	674	763	89	68.6	77.5	2.38935	False	0.0
cluster0	chr1	4	1	4	763	1183	420	77.5	120.0	3.54149	False	0.0
cluster0	chr1	5	1	5	1183	1245	62	120.0	149.8	2.23572	False	0.0
cluster0	chr1	6	1	6	1245	1315	70	149.8	156.8	9.90711	False	0.0
cluster0	chr1	7	1	7	1315	1414	99	156.8	166.8	5.66489	False	0.0
cluster0	chr1	8	1	8	1414	2104	690	166.8	236.0	7.50698	False	0.0
cluster0	chr1	9	1	9	2104	2232	128	236.0	248.9	4.75824	False	0.0
cluster1	chr1	0	1	0	0	50	50	0.8	5.9	0.48923	False	0.0
cluster1	chr1	1	1	1	50	456	406	5.9	46.8	4.03004	False	0.0
cluster1	chr1	2	1	2	456	674	218	46.8	68.6	3.29828	False	0.0
cluster1	chr1	3	1	3	674	763	89	68.6	77.5	2.43015	False	0.0
cluster1	chr1	4	1	4	763	1183	420	77.5	120.0	3.52031	False	0.0
cluster1	chr1	5	1	5	1183	1245	62	120.0	149.8	2.10551	False	0.0
cluster1	chr1	6	1	6	1245	1315	70	149.8	156.8	10.00357	False	0.0
cluster1	chr1	7	1	7	1315	1414	99	156.8	166.8	5.4198	False	0.0
cluster1	chr1	8	1	8	1414	2104	690	166.8	236.0	7.48552	False	0.0
cluster1	chr1	9	1	9	2104	2232	128	236.0	248.9	4.77303	False	0.0
cluster2	chr1	0	1	0	0	50	50	0.8	5.9	0.77393	False	0.0
cluster2	chr1	1	1	1	50	456	406	5.9	46.8	4.05152	False	0.0
cluster2	chr1	2	1	2	456	763	307	46.8	77.5	3.22629	False	0.0
cluster2	chr1	3	1	3	763	1183	420	77.5	120.0	3.74809	False	0.0
cluster2	chr1	4	1	4	1183	1245	62	120.0	149.8	2.33719	False	0.0
cluster2	chr1	5	1	5	1245	1315	70	149.8	156.8	9.82297	False	0.0
cluster2	chr1	6	1	6	1315	1414	99	156.8	166.8	6.52953	False	0.0
cluster2	chr1	7	1	7	1414	2104	690	166.8	236.0	7.76027	False	0.0
cluster2	chr1	8	1	8	2104	2232	128	236.0	248.9	5.47865	False	0.0
cluster3	chr1	0	1	0	0	50	50	0.8	5.9	0.69215	False	0.0
cluster3	chr1	1	1	1	50	463	413	5.9	47.5	4.12894	False	0.0
cluster3	chr1	2	1	2	463	493	30	47.5	50.5	1.94225	False	0.0
cluster3	chr1	3	1	3	493	826	333	50.5	83.8	3.03595	False	0.0
cluster3	chr1	4	1	4	826	1183	357	83.8	120.0	3.63891	False	0.0
cluster3	chr1	5	1	5	1183	1245	62	120.0	149.8	2.10965	False	0.0
cluster3	chr1	6	1	6	1245	1315	70	149.8	156.8	10.64862	False	0.0
cluster3	chr1	7	1	7	1315	1336	21	156.8	158.9	4.14732	False	0.0
cluster3	chr1	8	1	8	1336	1380	44	158.9	163.4	7.0253	False	0.0
cluster3	chr1	9	1	9	1380	1414	34	163.4	166.8	3.90639	False	0.0
cluster3	chr1	10	1	10	1414	2104	690	166.8	236.0	7.47439	False	0.0
cluster3	chr1	11	1	11	2104	2232	128	236.0	248.9	4.45501	False	0.0
cluster4	chr1	0	1	0	0	50	50	0.8	5.9	1.09721	False	0.0
cluster4	chr1	1	1	1	50	456	406	5.9	46.8	3.95705	False	0.0
cluster4	chr1	2	1	2	456	493	37	46.8	50.5	2.19736	False	0.0
cluster4	chr1	3	1	3	493	1183	690	50.5	120.0	3.22082	False	0.0
cluster4	chr1	4	1	4	1183	1245	62	120.0	149.8	2.15959	False	0.0
cluster4	chr1	5	1	5	1245	1315	70	149.8	156.8	9.59017	False	0.0
cluster4	chr1	6	1	6	1315	1380	65	156.8	163.4	5.79963	False	0.0
cluster4	chr1	7	1	7	1380	1414	34	163.4	166.8	3.25311	False	0.0
cluster4	chr1	8	1	8	1414	2104	690	166.8	236.0	7.42251	False	0.0
cluster4	chr1	9	1	9	2104	2232	128	236.0	248.9	4.74278	False	0.0
cluster0	chr2	0	1	0	0	81	81	0.0	8.6	1.75313	False	0.0
cluster0	chr2	1	1	1	81	125	44	8.6	13.1	4.36719	False	0.0
cluster0	chr2	2	1	2	125	324	199	13.1	33.6	3.34959	False	0.0
cluster0	chr2	3	1	3	324	349	25	33.6	36.3	1.46131	False	0.0
cluster0	chr2	4	1	4	349	382	33	36.3	39.6	4.92397	False	0.0
cluster0	chr2	5	1	5	382	744	362	39.6	76.0	3.83974	False	0.0
cluster0	chr2	6	1	6	744	766	22	76.0	80.8	1.12517	False	0.0
cluster0	chr2	7	1	7	766	910	144	80.8	102.8	3.24748	False	0.0
cluster0	chr2	8	1	8	910	956	46	102.8	107.5	1.52182	False	0.0
cluster0	chr2	9	1	9	956	1234	278	107.5	142.1	2.51636	False	0.0
cluster0	chr2	10	1	10	1234	2166	932	142.1	235.8	3.54528	False	0.0
cluster0	chr2	11	1	11	2166	2225	59	235.8	242.0	3.19765	False	0.0
cluster1	chr2	0	1	0	0	81	81	0.0	8.6	1.62075	False	0.0
cluster1	chr2	1	1	1	81	141	60	8.6	14.8	4.07791	False	0.0
cluster1	chr2	2	1	2	141	324	183	14.8	33.6	3.07582	False	0.0
cluster1	chr2	3	1	3	324	349	25	33.6	36.3	1.43336	False	0.0
cluster1	chr2	4	1	4	349	382	33	36.3	39.6	4.84935	False	0.0
cluster1	chr2	5	1	5	382	744	362	39.6	76.0	3.60996	False	0.0
cluster1	chr2	6	1	6	744	765	21	76.0	80.7	1.0588	False	0.0
cluster1	chr2	7	1	7	765	910	145	80.7	102.8	3.24131	False	0.0
cluster1	chr2	8	1	8	910	1143	233	102.8	133.0	2.0604	False	0.0
cluster1	chr2	9	1	9	1143	1234	91	133.0	142.1	2.55133	False	0.0
cluster1	chr2	10	1	10	1234	2166	932	142.1	235.8	3.49432	False	0.0
cluster1	chr2	11	1	11	2166	2225	59	235.8	242.0	3.21104	False	0.0
cluster2	chr2	0	1	0	0	83	83	0.0	8.8	2.14299	False	0.0
cluster2	chr2	1	1	1	83	744	661	8.8	76.0	3.78777	False	0.0
cluster2	chr2	2	1	2	744	765	21	76.0	80.7	1.27194	False	0.0
cluster2	chr2	3	1	3	765	910	145	80.7	102.8	3.48528	False	0.0
cluster2	chr2	4	1	4	910	1232	322	102.8	141.9	2.72063	False	0.0
cluster2	chr2	5	1	5	1232	2127	895	141.9	231.8	3.66272	False	0.0
cluster2	chr2	6	1	6	2127	2225	98	231.8	242.0	3.37193	False	0.0
cluster3	chr2	0	1	0	0	81	81	0.0	8.6	1.3593	False	0.0
cluster3	chr2	1	1	1	81	125	44	8.6	13.1	4.50341	False	0.0
